,LABEL,RDFULL295,RDFULL300,RDFULL305,PAFULL295,PAFULL300,PAFULL305,ZGFULL295,ZGFULL300,ZGFULL305,TAFULL295,TAFULL300,TAFULL305,RD300S295,RD300S300,RD300S305,PA300S295,PA300S300,PA300S305,ZG300S295,ZG300S300,ZG300S305,TA300S295,TA300S300,TA300S305,RD300Q295,RD300Q300,RD300Q305,PA300Q295,PA300Q300,PA300Q305,ZG300Q295,ZG300Q300,ZG300Q305,TA300Q295,TA300Q300,TA300Q305,STAB295,STAB300,STAB305,S220295,S220300,S220305,Cr,Cb,Cg,Ca
7,GEOS-GCM,0.6309103059054844,1.0226240439332577,0.55686489560483,22968.470703125,19523.662109375,19523.662109375,10.855259765625,12.171146484375,12.6657451171875,206.36569213867188,203.8537750244141,218.55137634277344,0.5523542695657622,1.0226240439332577,1.5780419501417418,22968.470703125,19523.662109375,19523.662109375,10.855259765625,12.171146484375,12.6657451171875,206.36569213867188,203.8537750244141,218.55137634277344,0.7597834572125396,1.0226240439332577,0.4447285326138296,22968.470703125,19523.662109375,19523.662109375,10.855259765625,12.171146484375,12.6657451171875,206.36569213867188,203.8537750244141,218.55137634277344,41.95267392788081,78.68414395488799,74.00768809020518,135163.70058059692,134694.0279006958,266920.99571228033,0.984313725490196,0.5019607843137255,0.4470588235294118,1.0
8,ICON-LEM-CRM,1.8793045279306941,1.5771648988475058,1.4953943190433885,24826.92578125,20560.916015625,17318.623046875,10.447267578125,11.947267578125,13.447267578125,213.1471405029297,211.51976013183602,213.1784210205078,0.9044600512112424,1.5771648988475058,2.07329987607882,22894.98046875,20560.916015625,20263.599609375,10.947267578125,11.947267578125,12.447267578125,208.62521362304688,211.51976013183602,222.0085906982422,2.439954272060269,1.5771648988475058,0.7067347084482651,22894.98046875,20560.916015625,20263.599609375,10.947267578125,11.947267578125,12.447267578125,208.62521362304688,211.51976013183602,222.0085906982422,16.78841217653826,28.25114352162927,38.69310603477061,14.349292905535547,20.227213099133227,30.80606111325324,0.7411764705882353,0.6196078431372549,0.2235294117647059,1.0
9,ICON-LEM-VER,1.367035313300212,1.2097865038022906,1.090023267736389,23702.9453125,19933.7109375,16504.84765625,10.7571279296875,12.1571279296875,13.7571279296875,211.29852294921875,210.2823944091797,210.7352294921875,0.8071752100555117,1.2097865038022906,2.407911449472058,22945.607421875,19933.7109375,19956.86328125,10.9571279296875,12.1571279296875,12.5571279296875,209.53024291992188,210.2823944091797,221.0810546875,2.4944143079736185,1.2097865038022906,0.6335304892934883,22206.365234375,19933.7109375,19956.86328125,11.1571279296875,12.1571279296875,12.5571279296875,207.79405212402344,210.2823944091797,221.0810546875,23.010649601928893,31.89780400134623,45.24260002654046,18.545988132245842,25.21372807677835,38.078948273323476,0.9058823529411764,0.7294117647058823,0.3215686274509804,1.0
10,ICON-LEM-LES,2.1477844598012883,1.9716227386427256,1.811671502583662,23667.369140625,19907.734375,16992.091796875,10.7571279296875,12.1571279296875,13.5571279296875,210.1681671142578,209.06304931640625,210.6127166748047,1.0845983788505318,1.9716227386427256,4.222315632219401,22164.814453125,19907.734375,20544.306640625,11.1571279296875,12.1571279296875,12.3571279296875,206.56822204589844,209.06304931640625,221.40005493164062,4.1382450041364125,1.9716227386427256,0.9425910586490536,22907.015625,19907.734375,19917.435546875,10.9571279296875,12.1571279296875,12.5571279296875,208.3480529785156,209.06304931640625,219.60833740234366,16.046971722971648,23.688786313869056,31.110452255234122,12.813924695365133,17.778128676582128,25.453389389440414,0.9058823529411764,0.7960784313725491,0.5803921568627451,1.0
11,MESONH,0.9604915119821128,0.8283398959368603,0.6123782907309345,27499.091796875,24534.646484375,20540.55078125,9.5,10.5,12.0,217.40391540527344,219.31820678710938,219.9312286376953,0.6065447946605782,0.8283398959368603,0.9732028848061596,25403.87109375,24534.646484375,25762.18359375,10.0,10.5,10.5,213.27783203125,219.31820678710938,232.3058013916016,1.1540305911320243,0.8283398959368603,0.4265610793060371,27499.091796875,24534.646484375,23921.6484375,9.5,10.5,11.0,217.40391540527344,219.31820678710938,228.1354217529297,28.759081033058468,34.51827215030789,60.427439166232936,19.67517600860447,34.51827215030789,60.427439166232936,0.9019607843137256,0.3333333333333333,0.05098039215686274,1.0
12,MESONH-VER,1.329962268356556,0.9577069427892346,0.7825347603301831,26053.998046875,23992.8671875,21020.982421875,10.0,10.8,12.0,214.4608917236328,217.9431915283203,220.4483337402344,0.8125851661609884,0.9577069427892346,1.1850085217938422,25234.50390625,23992.8671875,25207.52734375,10.2,10.8,10.8,212.7388916015625,217.9431915283203,230.6702880859375,1.5416870307655612,0.9577069427892346,0.6214491360711349,25234.50390625,23992.8671875,22353.490234375,10.2,10.8,11.6,212.7388916015625,217.9431915283203,223.83560180664062,25.19196132197976,29.89275963045657,41.56898648943752,16.809510998427868,26.916409842669964,41.56898648943752,0.9921568627450981,0.5529411764705883,0.2352941176470588,1.0
13,MESONH-LES,1.477902093519232,1.3323246306730765,1.006106007094605,22726.693359375,19673.109375,17230.0859375,10.8,12.0,13.2,205.15025329589844,205.36102294921875,207.5756072998047,0.9172168201169836,1.3323246306730765,2.4964560951309682,20539.5625,19673.109375,20239.8671875,11.4,12.0,12.2,199.6992034912109,205.36102294921875,216.513671875,2.5879742016359932,1.3323246306730765,0.7153648684781204,21979.595703125,19673.109375,22222.1015625,11.0,12.0,11.6,203.3077850341797,205.36102294921875,221.8819274902344,13.596970529761164,18.630948034115136,30.91965627390892,10.81838272511959,15.206792159006,24.230817507486787,0.9921568627450981,0.6823529411764706,0.4196078431372549,1.0
14,MicroHH,0.3259980814149261,0.3083973305249649,0.3422498328298582,23145.82421875,20626.580078125,14561.138671875,11.0,12.0,14.5,214.0861968994141,215.3013610839844,206.02940368652344,0.36891851840645984,0.3083973305249649,0.5911397387954518,23145.82421875,20626.580078125,15807.5634765625,11.0,12.0,14.0,214.0861968994141,215.3013610839844,210.09197998046875,0.6122579979159734,0.3083973305249649,0.3477686398933429,18085.330078125,20626.580078125,20042.41015625,12.5,12.0,12.5,201.5007781982422,215.3013610839844,221.93109130859366,42.41403948981315,53.65665419958533,68.65827017463744,39.74410647060722,50.07843137718736,60.769723495468504,0.5960784313725489,0.3058823529411765,0.6392156862745098,1.0
15,MicroHH-VER,0.8328259222495994,0.4720792261329734,0.4951844966491429,16665.112332126348,21381.62396845812,18655.51944870141,13.0,11.8,13.0,196.77464294433602,217.1160125732422,218.39593505859366,0.4443278212791323,0.4720792261329734,1.4383705379632357,23232.288409757217,21381.62396845812,15396.888400822889,11.0,11.8,14.2,214.39520263671875,217.1160125732422,208.9729766845703,2.521667101622324,0.4720792261329734,0.4275268745974557,16665.112332126348,21381.62396845812,21105.34616634609,13.0,11.8,12.2,196.77464294433602,217.1160125732422,224.8580780029297,10.884054888738458,47.31349259203555,60.690998973529645,36.199032433021344,43.11838624343117,57.535282072257424,0.5803921568627451,0.403921568627451,0.7411764705882353,1.0
16,MicroHH-LES,4.036264810193903,2.518609945483652,0.8396414185523816,16626.346794173773,14853.76259924338,13428.272417573113,13.0,14.0,15.0,194.5758819580078,195.3265686035156,197.5249786376953,1.6852583852163059,2.518609945483652,5.632535830239477,13914.35653232162,14853.76259924338,15840.463987872125,14.0,14.0,14.0,185.99853515625,195.3265686035156,206.55848693847656,7.609434578590037,2.518609945483652,0.5210284722021452,16626.346794173773,14853.76259924338,12980.994654979268,13.0,14.0,15.2,194.5758819580078,195.3265686035156,195.7392578125,3.8842829975179294,11.756633299054716,30.18143617189001,31.948437054640678,37.487608476051456,48.08288463248602,0.7725490196078432,0.6901960784313725,0.8352941176470589,1.0
