,LABEL,RDFULL295,RDFULL300,RDFULL305,PAFULL295,PAFULL300,PAFULL305,ZGFULL295,ZGFULL300,ZGFULL305,TAFULL295,TAFULL300,TAFULL305,RD300S295,RD300S300,RD300S305,PA300S295,PA300S300,PA300S305,ZG300S295,ZG300S300,ZG300S305,TA300S295,TA300S300,TA300S305,RD300Q295,RD300Q300,RD300Q305,PA300Q295,PA300Q300,PA300Q305,ZG300Q295,ZG300Q300,ZG300Q305,TA300Q295,TA300Q300,TA300Q305,STAB295,STAB300,STAB305,S220295,S220300,S220305,Cr,Cb,Cg,Ca
17,MPAS,1.450522413322045,1.152501458654975,1.4937702686078704,25936.599609375,25008.9296875,20798.689453125,10.0,10.5,12.0,210.3616180419922,216.12144470214844,215.20811462402344,0.7725745977599107,1.152501458654975,2.0353747342539474,21970.568359375,25008.9296875,22486.39453125,11.0,10.5,11.5,201.34942626953125,216.12144470214844,219.67649841308602,2.2797421043848334,1.152501458654975,0.7968039694759502,25936.599609375,25008.9296875,20798.689453125,10.0,10.5,12.0,210.3616180419922,216.12144470214844,215.20811462402344,13.116956688463688,17.013453179970384,29.614512459374968,14.071984332986176,16.803339531179518,22.482297208625823,0.5019607843137255,0.6941176470588235,0.8274509803921568,1.0
18,SAM-CRM,1.605630023127382,1.4593511743276208,1.321930547387504,24454.251953125,20251.0078125,18432.466796875,10.5,12.0,13.0,210.19314575195312,208.16705322265625,213.4058532714844,1.1181010289388622,1.4593511743276208,2.2366274771305417,22525.498046875,20251.0078125,21561.75,11.0,12.0,12.0,205.60614013671875,208.16705322265625,222.3551025390625,2.20342748311134,1.4593511743276208,0.8978575127959617,22525.498046875,20251.0078125,19951.927734375,11.0,12.0,12.5,205.60614013671875,208.16705322265625,217.8679962158203,12.75223767152056,24.667748948559165,32.116504735313356,10.290343197993934,15.052891103550794,25.687229936011143,0.6784313725490196,0.28627450980392155,0.2901960784313726,1.0
19,SAM-CRM-VER,1.2748519646941097,1.0040486991491742,0.7066335102278427,27347.9609375,23033.552734375,20953.546875,9.8,11.2,12.2,216.6910400390625,216.0511779785156,221.69586181640625,0.6329948371828656,1.0040486991491742,1.4061205617787205,24852.724609375,23033.552734375,23654.56640625,10.4,11.2,11.4,211.33226013183602,216.0511779785156,228.56585693359366,1.7445975137046663,1.0040486991491742,0.4950969336720457,25664.828125,23033.552734375,22956.26171875,10.2,11.2,11.6,213.0856170654297,216.0511779785156,226.8441619873047,15.135381545405837,26.962222182191912,38.827836397103965,13.10868829023093,22.554937459062785,42.157431016676135,0.8392156862745098,0.3803921568627451,0.4196078431372549,1.0
20,SAM-CRM-LES,1.9624760986608192,1.9144099034653244,1.4934331392678584,27321.619140625,23771.619140625,19691.806640625,9.8,11.0,12.6,216.36419677734366,217.56341552734366,218.1665954589844,1.062339993323711,1.9144099034653244,2.556632821085699,23255.931640625,23771.619140625,24368.939453125,10.8,11.0,11.2,207.38243103027344,217.56341552734366,230.60060119628903,2.2551187931726457,1.9144099034653244,0.7749618595086148,27321.619140625,23771.619140625,20953.5546875,9.8,11.0,12.2,216.36419677734366,217.56341552734366,221.71853637695312,14.121537969913335,18.88667029561475,32.04357053618878,10.707846377044916,16.31828345125541,27.662000502459698,0.9058823529411764,0.5882352941176471,0.611764705882353,1.0
21,SCALE,1.6516819351364116,1.5059755624032416,1.2682085889261483,26122.259765625,23293.267578125,19427.537109375,10.0,11.0,12.5,211.42144775390625,212.9078826904297,212.4585876464844,1.1227456218625071,1.5059755624032416,2.7523710230410074,22149.8671875,23293.267578125,24544.6484375,11.0,11.0,11.0,202.6908264160156,212.9078826904297,225.7217712402344,2.9060773058358365,1.5059755624032416,0.9259395891128284,26122.259765625,23293.267578125,21035.53515625,10.0,11.0,12.0,211.42144775390625,212.9078826904297,216.8640289306641,15.853338118176909,19.90448945434764,35.455368924885995,11.992292274953794,16.732484800741073,25.55783139541745,0.10588235294117647,0.6196078431372549,0.4666666666666667,1.0
22,UKMO-GA7.1,1.0413248860501625,0.8175785953602178,0.7359329027210516,23038.326171875,20127.96484375,17448.837890625,11.4752236328125,12.608767578125,13.795328125,205.9552459716797,207.19927978515625,208.49298095703125,0.3976576608359189,0.8175785953602178,1.4913608894110837,21144.703125,20127.96484375,19128.294921875,12.035201171875,12.608767578125,13.197962890625,201.18923950195312,207.19927978515625,213.4415283203125,1.65172526106888,0.8175785953602178,0.37679532111524544,21144.703125,20127.96484375,19128.294921875,12.035201171875,12.608767578125,13.197962890625,201.18923950195312,207.19927978515625,213.4415283203125,17.90725946193561,24.39814998069778,33.58160320203751,23.577103274874396,39.575272239744656,45.97454098984599,0.4823529411764706,0.2549019607843137,0.4509803921568628,1.0
23,UKMO-CASIM,1.0434899660773322,0.8480120857630071,0.7188121272866757,23247.1875,19976.236328125,16768.763671875,10.875,12.125,13.625759765625,210.00767517089844,210.07460021972656,211.0272216796875,0.6617381265699221,0.8480120857630071,0.983173125680356,22316.623046875,19976.236328125,22044.1015625,11.125,12.125,11.875,207.7783050537109,210.07460021972656,226.1492462158203,1.1761819637723059,0.8480120857630071,0.5345172897260102,21413.962890625,19976.236328125,19652.25,11.375,12.125,12.625,205.58262634277344,210.07460021972656,219.6417694091797,21.05462917825207,33.635727595537894,49.99162629246712,16.15440851310268,23.596698883920908,34.313142532482736,0.6470588235294118,0.3176470588235294,0.5803921568627451,1.0
24,UKMO-RA1-T-hrad,1.2713027209650194,0.9381475117736108,0.6920660912267885,25000.125062091527,22435.82868493337,19634.916272185248,10.375,11.375,12.625,212.17505277772736,215.17587573980546,218.75892761978864,0.7357233379602457,0.9381475117736108,1.4024186057186765,23048.10047173541,22435.82868493337,22881.81893350777,10.875,11.375,11.625,207.74691733918945,215.17587573980546,227.38147056010035,1.5489524420240994,0.9381475117736108,0.4805754365881727,25000.125062091527,22435.82868493337,21212.030022037,10.375,11.375,12.125,212.17505277772736,215.17587573980546,223.06400922159568,18.48197834149788,26.525264313282037,41.0931307114254,13.398875864933533,20.924825669333547,36.21727834002039,0.807843137254902,0.4274509803921568,0.7411764705882353,1.0
25,UKMO-RA1-T,1.3232320752875983,1.0680828539299123,0.7115731136943029,24075.685349558207,20086.516454310982,18395.67589499145,10.625,12.125,13.125055,210.62787123659496,210.7441354865316,217.7775307404287,0.7344309920617089,1.0680828539299123,1.462972549497455,22182.264660307465,20086.516454310982,21452.190875545683,11.125,12.125,12.125,206.1500962621957,210.7441354865316,226.45114499792243,1.4509920733468131,1.0680828539299123,0.5264810732637898,23114.692496956308,20086.516454310982,19880.2956638523,10.875,12.125,12.625,208.36791533956142,210.7441354865316,222.08971543840923,17.15823579022886,32.21504627571135,45.243297874726,13.744369315620865,19.2178840327034,38.04210919391989,0.8705882352941177,0.6196078431372549,0.8392156862745098,1.0
26,UKMO-RA1-T-nocloud,1.1331157865040522,0.8946233454655744,0.6585988205496016,24055.884765625,20705.0703125,18097.26953125,10.625,11.875,13.1250546875,210.6596984863281,211.14816284179688,214.40365600585938,0.6545824662841172,0.8946233454655744,1.3023357346420503,22164.5703125,20705.0703125,21976.681640625,11.125,11.875,11.875,206.2582855224609,211.14816284179688,225.11117553710938,1.3514450403029736,0.8946233454655744,0.4728832802644608,23095.900390625,20705.0703125,20357.228515625,10.875,11.875,12.375,208.43186950683602,211.14816284179688,220.7997131347656,20.126797608099878,32.99335076007992,51.20516289025545,14.95349279139191,22.042141063138843,35.58839380275458,0.8901960784313725,0.4666666666666667,0.7607843137254902,1.0
