	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.9999966045987314	0.9999906626465115	0.9999966045987314	199.77198791503906	199.33029174804688	198.2531280517578	12.0	13.5	15.5	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	CM1-VER	0.9875187716579606	0.9739941983176479	0.9795162300011276	200.3595428466797	205.72579956054688	207.65599060058594	12.2	12.6	13.8	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
2	CM1-LES	0.9823711006012465	0.9807783271570822	0.9823850568829388	203.10580444335938	203.4775390625	204.6685333251953	11.4	12.6	14.0	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
3	DALES	0.08101975000000003	0.250507	0.030684	208.3971710205078	218.3026580810547	236.13009643554688	11.0	11.0	11.0	0.4	0.4	0.4	1.0
4	DALES-LES	0.2124240205341397	0.3372517479213908	0.15216586750440916	220.73828125	218.30035400390625	220.20172119140625	9.6	11.0	12.8	0.4392156862745098	0.4841298686810369	0.5642155882230956	1.0
5	DALES-damping	0.08390574999999988	0.3160094999999999	0.028936249999999997	208.4410400390625	218.1986846923828	237.01083374023438	11.0	11.0	11.0	0.5490196078431373	0.6351102351026474	0.6740195344975912	1.0
6	DALES-damping-rad-VER	0.06021185980902786	0.05881429036458328	0.032587619357638896	215.29501342773438	215.9062042236328	229.80882263183594	10.0	11.2	11.6	0.8337928323222441	0.8936274509803921	0.8936274270465824	1.0
7	DAM	0.9779826817558299	0.9880358367626881	0.985594135802469	197.08876427013817	197.41518992430213	201.50229269431773	17.5	17.0	18.5	0.4	0.7607843137254902	0.6470588235294118	1.0
8	ICON-LEM-CRM	1.0	1.0	1.0	196.1834259033203	197.67822265625	199.6052703857422	14.447267578125	14.947267578125	15.447267578125	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
9	ICON-LEM-VER	1.0	1.0	0.9999939393939393	195.79441833496094	197.99644470214844	199.92807006835938	14.5571279296875	14.7571279296875	15.5571279296875	0.9058823529411765	0.7294117647058823	0.3215686274509804	1.0
10	ICON-LEM-LES	1.0	1.0	0.9999631683168315	195.6837615966797	197.95187377929688	199.74905395507812	14.7571279296875	14.7571279296875	15.7571279296875	0.9058823529411765	0.796078431372549	0.5803921568627451	1.0
11	ICON-NWP-CRM	0.7321019801980195	0.6951910891089111	0.6673920792079209	204.1046142578125	201.81494140625	206.82827758789062	10.947267578125	12.447267578125	13.447267578125	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
12	MESONH	1.0	1.0	0.999996	209.7017059326172	208.423828125	208.3287353515625	10.5	12.0	14.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
13	MESONH-VER	1.0	1.0	0.999999	211.06976318359375	211.28990173339844	209.4735107421875	10.4	11.6	13.4	0.9921568627450981	0.5529411764705883	0.23529411764705882	1.0
14	SAM-CRM	0.2774397024219467	0.25437345758723606	0.2137667513200184	210.1902618408203	212.74905395507812	217.87353515625	10.5	11.5	12.5	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
15	SCALE	0.9286404079861108	0.9580078125	0.9490917968750003	195.82595825195312	197.2986297607422	198.0401611328125	12.0	13.0	14.5	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
16	UCLA-CRM	0.9848195808222479	0.9897578644534469	0.9973709389720126	249.07235717773438	251.3168182373047	251.67892456054688	7.0	8.0	9.5	1.0	0.9294117647058824	0.43529411764705883	1.0
17	UKMO-CASIM	0.9683579999999996	0.9671780000000004	0.9468140000000003	207.7635498046875	207.9369659423828	208.93246459960938	11.125	12.375	13.8773779296875	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
18	UKMO-RA1-T-hrad	1.0	1.0	1.0	197.1200482050287	198.56425784204876	201.48306921739456	12.625	14.131699999999976	15.668310000000037	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
19	UKMO-RA1-T	1.0	1.0	1.0	196.38070038896328	196.974435142949	200.52266842362263	12.625	14.664364999999993	16.651284999999973	0.8705882352941177	0.6196078431372549	0.8392156862745098	1.0
20	UKMO-RA1-T-nocloud	1.0	1.0	1.0	195.9345703125	197.7094268798828	200.49383544921875	12.8750029296875	14.1317060546875	15.668291015625	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
21	WRF-COL-CRM	0.718071115192328	0.8337894092439546	0.7936539638812365	204.17880249023438	204.06280517578125	205.60507202148438	12.24253125	13.5617353515625	14.99430078125	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
