,Unnamed: 0,LABEL,RDFULL295,RDFULL300,RDFULL305,PAFULL295,PAFULL300,PAFULL305,ZGFULL295,ZGFULL300,ZGFULL305,TAFULL295,TAFULL300,TAFULL305,RD300S295,RD300S300,RD300S305,PA300S295,PA300S300,PA300S305,ZG300S295,ZG300S300,ZG300S305,TA300S295,TA300S300,TA300S305,RD300Q295,RD300Q300,RD300Q305,PA300Q295,PA300Q300,PA300Q305,ZG300Q295,ZG300Q300,ZG300Q305,TA300Q295,TA300Q300,TA300Q305,STAB295,STAB300,STAB305,S220295,S220300,S220305,Cr,Cb,Cg,Ca
0,0,CAM5-GCM,0.445985432300134,0.3583327497422736,0.3017864663295209,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,0.3044488621234149,0.3583327497422736,0.4434125839281958,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,0.5477739394305973,0.3583327497422736,0.2630825590684384,23361.4375,19815.15625,19816.724609375,10.835166015625,12.2700625,12.6749765625,210.6453094482422,212.4466857910156,222.6385955810547,40.633531170897186,56.945666437968605,57.34165315516292,24.08885338809341,37.816603435203426,57.34165315516292,0.7098039215686275,0.8117647058823529,0.4196078431372549,1.0
1,1,CAM6-GCM,0.4092471014056903,0.3934403018228005,0.2115701818488961,27539.140625,23365.775390625,23383.966796875,9.7345615234375,11.0787841796875,11.524724609375,217.3567657470703,216.5982818603516,230.2418670654297,0.3413892705953821,0.3934403018228005,0.4341602494285896,23360.462890625,23365.775390625,23383.966796875,10.7554716796875,11.0787841796875,11.524724609375,208.6003875732422,216.5982818603516,230.2418670654297,0.4756166251647122,0.3934403018228005,0.19462885127161772,23360.462890625,23365.775390625,23383.966796875,10.7554716796875,11.0787841796875,11.524724609375,208.6003875732422,216.5982818603516,230.2418670654297,26.61376784089953,39.37206056434661,67.47376755811274,26.61376784089953,39.37206056434661,92.52939489670099,0.807843137254902,0.8588235294117647,0.611764705882353,1.0
2,2,CM1,0.7556104443428059,0.6534706151533288,0.4789081084637683,26668.70703125,22125.095703125,18713.697265625,10.0,11.5,13.0,217.15499877929688,216.09071350097656,219.4003143310547,0.4938295701532754,0.6534706151533288,0.7171631332156009,24633.833984375,22125.095703125,20214.333984375,10.5,11.5,12.5,212.90892028808597,216.09071350097656,223.10617065429688,0.8376626206571939,0.6534706151533288,0.4045370857336173,22718.4609375,22125.095703125,23495.44140625,11.0,11.5,11.5,208.7985992431641,216.09071350097656,230.793701171875,28.591719456017017,46.15076759364456,85.61076247133316,24.97684326954186,39.724979433231056,85.61076247133316,0.19215686274509805,0.5098039215686274,0.7411764705882353,1.0
3,3,CNRM-CM6,0.7536761270548233,0.6212405981458762,0.5654032058039963,27259.005859375,22566.701171875,17464.08984375,9.799375,11.379794921875,13.508302734375,216.34130859375,216.9686584472656,216.7525634765625,0.5410446773988924,0.6212405981458762,0.7258242160672768,25600.400390625,22566.701171875,19869.828125,10.192072265625,11.379794921875,12.6777109375,212.9069366455078,216.9686584472656,223.81362915039062,0.7491705506237873,0.6212405981458762,0.3622487317139945,24040.736328125,22566.701171875,21181.931640625,10.5804697265625,11.379794921875,12.2537900390625,209.5560760498047,216.9686584472656,227.3988800048828,21.78192953579128,31.083161593414847,50.237856339663274,18.503822502680126,26.96215233299881,43.63180487416685,0.9058823529411764,0.1607843137254902,0.5411764705882353,1.0
4,4,DAM,0.6775671465535352,0.6030706120247615,0.52689260818313,24931.706810433512,22409.53859350539,18816.925915460204,10.5,11.5,13.0,213.59007259089168,217.0594126131432,218.06869408873158,0.3977216259952444,0.6030706120247615,0.6624183340366857,24931.706810433512,22409.53859350539,21946.958218197928,10.5,11.5,12.0,213.59007259089168,217.0594126131432,226.3055271497701,0.7831272305211798,0.6030706120247615,0.32768224263709755,22995.663265451425,22409.53859350539,21946.958218197928,11.0,11.5,12.0,209.30414629100758,217.0594126131432,226.3055271497701,26.45474198521141,37.19213025322947,57.39390356503311,20.680618108157717,30.793980892135487,57.39390356503311,0.4,0.7607843137254902,0.6470588235294118,1.0
5,5,GEOS-GCM,0.7359892260896488,0.5783695561673484,0.33226856532514537,26719.541015625,22680.849609375,16366.1484375,10.0320390625,11.431943359375,14.0905341796875,218.43907165527344,219.452880859375,217.68194580078125,0.4418420728020728,0.5783695561673484,0.5608341252293443,22678.666015625,22680.849609375,19260.201171875,11.0586669921875,11.431943359375,13.0337470703125,209.57081604003903,219.452880859375,226.1631774902344,0.7763752361605761,0.5783695561673484,0.26485349400113395,26719.541015625,22680.849609375,19260.201171875,10.0320390625,11.431943359375,13.0337470703125,218.43907165527344,219.452880859375,226.1631774902344,21.996496070642024,32.38737990614027,72.43101135827601,129656.62479400635,194515.18058776853,473367.3095703125,0.9843137254901959,0.5019607843137255,0.4470588235294118,1.0
6,6,ICON-LEM-CRM,1.1004617165626098,1.08639417580149,0.9602084793523232,23157.5,20725.775390625,17535.060546875,10.947267578125,11.947267578125,13.447267578125,210.5105133056641,212.8306121826172,215.74090576171875,0.7211122138852141,1.08639417580149,1.4518291575013125,21334.2890625,20725.775390625,20481.681640625,11.447267578125,11.947267578125,12.447267578125,206.16339111328125,212.8306121826172,224.2414093017578,1.41661717875593,1.08639417580149,0.5242634214664154,21334.2890625,20725.775390625,18965.435546875,11.447267578125,11.947267578125,12.947267578125,206.16339111328125,212.8306121826172,219.9844512939453,24.954963009804487,31.45914524793625,49.49062131345272,17.488501907791942,24.082376330625266,42.81612054910511,0.7411764705882353,0.6196078431372549,0.2235294117647059,1.0
7,7,MESONH,0.5877918230596995,0.4990032136186167,0.4156533806084093,27786.6875,21443.146484375,19450.73828125,9.5,11.5,12.5,220.36166381835938,216.5778961181641,221.834716796875,0.3775745093283951,0.4990032136186167,0.5753510636299146,23728.09375,21443.146484375,22623.71484375,10.5,11.5,11.5,212.16416931152344,216.5778961181641,229.9518280029297,0.5772062576440551,0.4990032136186167,0.31937929113133456,25696.5625,21443.146484375,20991.572265625,10.0,11.5,12.0,216.1158599853516,216.5778961181641,225.8702850341797,26.060608797706667,52.504177438095205,60.893635964021094,26.060608797706667,38.281292654573924,60.893635964021094,0.9019607843137256,0.3333333333333333,0.05098039215686274,1.0
8,8,MPAS,0.9239395758911664,0.9154806588027038,0.8926051980977896,26410.380859375,23657.869140625,19665.54296875,10.0,11.0,12.5,214.86741638183597,217.49549865722656,216.5068817138672,0.6068251106224669,0.9154806588027038,1.1554822091604828,22456.970703125,23657.869140625,22937.857421875,11.0,11.0,11.5,206.3242950439453,217.49549865722656,224.9309844970703,1.1119139012829764,0.9154806588027038,0.5607603497188479,24373.96484375,23657.869140625,21259.404296875,10.5,11.0,12.0,210.4951934814453,217.49549865722656,220.7016906738281,22.408667427953333,28.776010731235147,47.26334009319544,18.816947704181075,24.915143148973584,39.807325811125345,0.5019607843137255,0.6941176470588235,0.8274509803921568,1.0
9,9,NICAM,0.7465674470027408,0.6651377199235267,0.6139057253176378,23737.8828125,18489.2578125,16331.41015625,10.762830078125,12.762830078125,13.962830078125,212.7389068603516,210.6092071533203,213.88134765625,0.5167969496446636,0.6651377199235267,0.9937684424819933,20835.80078125,18489.2578125,20299.943359375,11.562830078125,12.762830078125,12.562830078125,206.2300720214844,210.6092071533203,225.61297607421875,1.1828061053850565,0.6651377199235267,0.5236614686173371,23737.8828125,18489.2578125,18519.322265625,10.762830078125,12.762830078125,13.162830078125,212.7389068603516,210.6092071533203,220.5631256103516,32.64615661464632,50.07523577660322,60.10582437738776,23.038902145344768,33.353763865306966,46.109873801469796,1.0,1.0,0.2,1.0
